,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.  -1. ],-6.4880935111321145,-6.485763254367748,-6.492585487459937,-6.486732488199743,-6.491871185012682,-6.494142671486077,-6.4907721777491085,-6.485765393314886,-6.490567663105854
[0.3 0.1 6.  2. ],-2.564254639780781,-5.206588424850016,-2.496690063179872,-3.128251290911729,-2.171231555944418,-2.432748310535433,-2.013033021170078,-5.317447795656778,-2.3054254671351844
[ 0.3  0.1 15.   3. ],-3.401489260090018,-5.4549221449048515,-2.954290725844172,-3.3347516290762873,-3.1361514297347175,-2.774815809058874,-2.7652362050560795,-5.582830919395324,-3.1544866043025483
[ 0.3  0.1 10.   4. ],-2.010652175859335,-5.008168133658669,-2.388305118004277,-2.925234280271117,-2.5370392235546775,-2.2362516505652645,-2.307492719161759,-5.290719868108663,-2.3943532798621328
[ 0.3  0.1 18.   0. ],-2.981952020718388,-5.349884502880304,-3.137318328690655,-3.5508331399840842,-3.163909244337836,-2.7402872310697686,-2.90762464802333,-5.595045998031829,-3.207390854820655
[ 0.3  0.1 18.   2. ],-3.153592948955748,-5.438991157391237,-2.9644703249390574,-3.595286677122799,-2.9475679588570642,-2.97618308867561,-3.0771588714525846,-5.7355642064845975,-3.026252892405317
[ 0.3  0.1 11.  -1. ],-2.3498306227355164,-5.071665724482663,-2.0313442858848605,-3.1583000715929037,-2.6687791328453687,-3.0786873873931926,-2.853813150512762,-5.180333585013429,-2.4320773469549373
[0.3 0.1 9.  3. ],-2.7195231964001305,-5.058531221640008,-2.4651663788765075,-3.1260842149520016,-2.958122791963449,-2.1779382367806885,-2.554762130419966,-5.295605285088056,-2.706150397392743
[ 0.3  0.1 16.   0. ],-3.016469401771306,-5.266828078188509,-3.1298714300357013,-3.7418637903251857,-3.3598070049913393,-3.6365808296630133,-2.950855446476938,-5.690260884604182,-3.2777988757917367
[0.3 0.1 9.  2. ],-2.0877524247302377,-5.033449923567292,-2.567194991273837,-3.3919674490040723,-2.379801140476193,-2.447231805138499,-2.405115648152107,-5.101648650003149,-2.7116787185381748
[0.3 0.1 3.  3. ],-2.496446599848537,-5.004973519229823,-2.11518596197655,-2.866035798323137,-2.5182328363097835,-2.2731943027051567,-2.8919985164039455,-5.274771410799894,-2.489794105477658
[0.3 0.1 1.  3. ],-2.8579864145408935,-4.846434302186505,-2.484148558686367,-3.1697624547489616,-2.4358491951851446,-2.53006221754092,-2.4028489673129036,-5.180042868479274,-2.0673905242394044
[ 0.3  0.1 11.   4. ],-2.064171177488641,-5.158257089787452,-2.396279327378004,-2.970516376417469,-2.7147782877419027,-2.4734505384402614,-2.5258140401913067,-4.926961365991573,-2.385782658464992
[ 0.3  0.1 10.   3. ],-2.6889311000882854,-4.736039185932563,-2.3862738821826865,-3.3524820817869676,-2.7353436974560967,-2.5139561080339425,-2.2351707318635734,-5.391272606449439,-2.409349949653085
[ 0.3  0.1 13.   3. ],-2.944536478295424,-5.377538604376756,-3.233911197550162,-3.8338743364018373,-3.193628325911091,-3.1791374213281283,-3.1177270042665386,-5.487630441270595,-3.001878834393987
[0.3 0.1 4.  1. ],-3.0655820342086724,-4.638291905792173,-2.1243072271082024,-3.2972227107108063,-2.4982768297449676,-2.6452599521955555,-2.489753742665953,-5.177060272801128,-2.703485569448745
[ 0.3  0.1 16.   1. ],-3.036323890647547,-5.390269494447586,-3.0823092954191407,-3.04435900020803,-3.438488815472674,-3.3719218207901074,-2.565853917663785,-5.54534459490711,-2.834248712800895
[ 0.3  0.1 13.   1. ],-3.3081544767811697,-5.497641594781736,-3.0200780066585566,-3.7993660472724535,-3.108551101838749,-2.6759771378440167,-2.9715267437827286,-5.504052361913315,-2.6591566951982344
[ 0.3  0.1  5.  -1. ],-2.5184429691676216,-4.882521098002984,-2.257304508888124,-2.737034321636908,-2.639798046648244,-2.101432873380613,-2.053992842145496,-5.280429937344106,-2.3775362318214657
[0.3 0.1 0.  1. ],-2.642062548446227,-5.029986108137133,-2.373144253100853,-3.082981271621413,-2.6853458169910116,-2.324915049959237,-2.4140581637482126,-5.163599606310301,-2.1960204565695993
[0.3 0.1 2.  0. ],-2.278794135900656,-4.855109079461678,-2.080361383259183,-3.557071923053968,-2.7078132177835172,-3.213275662485665,-2.4750487768763834,-5.395848453796746,-2.520059749691529
[ 0.3  0.1  7.  -1. ],-2.7990650301195004,-5.026320816382372,-1.6791024077595211,-3.0502822473390214,-2.1977921408805425,-2.286461301095136,-2.6748106923826707,-5.208921041785275,-2.9095500684731364
[ 0.3  0.1 11.   2. ],-2.367092933288017,-5.234367935763713,-2.886406889906191,-2.7383836699807875,-2.7249571709044598,-2.393496335759693,-2.685317557268859,-5.371908065410209,-2.3422806249556425
[ 0.3  0.1 12.   0. ],-2.6811390672222326,-5.049771406643423,-2.6566659623054356,-3.2618606609280016,-2.123469607095674,-2.079618120327718,-2.2975493962275455,-5.17652593908603,-2.072883610511653
[ 0.3  0.1 19.   3. ],-2.8590953119931006,-5.378728291176593,-3.4110971949913456,-4.246540212605021,-3.289839757749556,-2.9659297478015723,-3.0891748071396345,-5.518751386574303,-2.7293696474827165
[ 0.3  0.1 15.  -1. ],-2.9105007735901323,-5.316484926332357,-2.845468175431706,-3.2151305659932876,-2.717986187136096,-3.2105804612153244,-2.643408482292997,-5.543050261115273,-2.994123211945247
