,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-6.810798548883024,-6.804215291623255,-6.806236068021702,-6.827116763815438,-6.822608869399061,-6.812086170377324,-6.807870654012221,-6.807602356693055,-6.808467081761628
[ 0.25  0.05  0.   -1.  ],-6.235805004023976,-6.244706693661883,-6.251025034940727,-6.238112619696052,-6.265528981219518,-6.241887691197148,-6.239631555753285,-6.239129757974072,-6.2460449278992165
[0.35 0.15 3.   1.  ],-5.20258339651141,-6.6306277540564,-5.611994285597967,-6.105669665971657,-5.376153651132624,-6.58280885015959,-6.079468843866126,-6.744006664084708,-5.300693652377373
[0.35 0.15 3.   2.  ],-5.5860894847721445,-6.657806690327438,-5.607962607139961,-6.1832828136854205,-5.021969918910455,-6.503425514071697,-6.055694115819692,-6.772670969255468,-5.148574937066367
[ 0.35  0.15  4.   -1.  ],-5.062587767368317,-6.655777220324956,-5.721147574562856,-6.21325357195261,-5.282529455321825,-6.526243983955603,-6.008856354267056,-6.739610068514518,-5.293997374412209
[0.35 0.15 4.   4.  ],-4.991438578507308,-6.6508205836197085,-5.803336235404996,-6.103735299024728,-5.365966399036587,-6.561670716584299,-6.051145876156748,-6.7614201592363035,-5.5015932336138675
[0.35 0.15 1.   3.  ],-5.272373385368296,-6.633858624085153,-5.697135137315956,-6.2049937113744305,-5.214653654059297,-6.522902894889635,-6.0343271722831,-6.736880866987493,-5.283248922005366
[0.35 0.15 3.   3.  ],-5.357391473990942,-6.648093649967431,-5.957354211254581,-6.133358508456223,-5.2869489403447405,-6.501578145855702,-6.212417018833979,-6.739417420038832,-5.281591973147694
[0.35 0.15 2.   1.  ],-5.0987829019740545,-6.627144608057777,-6.034212654060282,-6.220822456723812,-5.497776222764397,-6.489258122095486,-6.00625026163902,-6.749169446168496,-5.409335014393163
[0.35 0.15 0.   3.  ],-5.558786373466514,-6.632158530306798,-5.665118495216649,-6.060670739798367,-5.10899848496481,-6.51067401883219,-6.081643690652978,-6.754198041973231,-5.284838600978123
[0.35 0.15 4.   3.  ],-5.308934287931147,-6.601199734949666,-5.745135890164128,-6.241658260132609,-5.300870020340816,-6.550888137990999,-6.105612393867465,-6.77414092662123,-5.4666917786350755
[0.35 0.15 0.   1.  ],-5.142536680691154,-6.666495956790384,-5.8329949014087035,-6.23465625487724,-5.244168767016443,-6.52653088375992,-5.982189935976533,-6.77356761688876,-5.255865878691721
[0.35 0.15 2.   0.  ],-5.043665518055773,-6.652585494717553,-5.48871985234081,-6.067211664783057,-5.575967127093736,-6.535899585287963,-5.92146901929388,-6.740528354743201,-5.182767631255685
[0.35 0.15 1.   1.  ],-5.228089894545786,-6.671005670160951,-5.9360665286650525,-6.157855697485234,-5.233275929654964,-6.495454324361897,-6.04561265469725,-6.747717354394712,-5.277177740725219
[0.35 0.15 2.   3.  ],-4.9853555286594196,-6.622656643658875,-5.666297646132235,-6.0820726930150375,-5.557513944454635,-6.51162907634339,-6.008966645263809,-6.754125342147124,-4.813960481709585
[0.35 0.15 1.   2.  ],-5.157442015320474,-6.605307325139388,-5.773274473726456,-6.179819958217698,-4.9690121234434175,-6.52862654879339,-6.049786568703787,-6.744940598877793,-5.191642673801678
[0.35 0.15 0.   4.  ],-5.629848378890236,-6.647534730934516,-5.75980793935758,-6.2211470758841685,-5.065058308931935,-6.434933120192566,-6.026419997112441,-6.747656863971529,-5.585909867272199
[0.35 0.15 4.   2.  ],-5.321982363949503,-6.66144124196289,-5.690120067502455,-6.115092723618952,-5.198910397467209,-6.503138801709625,-6.142751663018503,-6.763121614457127,-5.130997996708243
[0.35 0.15 1.   4.  ],-5.048077993803374,-6.665430591881581,-5.804630023685792,-6.0680148526562405,-5.218502716975133,-6.504154164272231,-6.120445813338955,-6.758292771195992,-5.118901540281777
[0.35 0.15 0.   0.  ],-5.152730784971066,-6.637867625261856,-5.842786575303447,-6.140576507685603,-5.172607649503681,-6.566448717067818,-6.034005306112143,-6.725876146206985,-5.373351989598643
