,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-6.212607704800097,-6.2120294553939175,-6.2055633788918145,-6.2064723523535035,-6.213774327181216,-6.207683148090791,-6.208354614597367,-6.20333076604678,-6.2073529783718975
[ 0.35  0.05  0.   -1.  ],-5.869329602237423,-5.872093921024443,-5.868380768593543,-5.872587672767123,-5.872322202862988,-5.872294925903944,-5.867935076404794,-5.8739408440558725,-5.865721078408675
[ 0.25  0.05  0.   -1.  ],-5.7316467361393455,-5.734973635740199,-5.728712953314435,-5.7282222679698265,-5.734391369075736,-5.73276560529252,-5.731385646276843,-5.7299860330730015,-5.73061547877942
[ 0.15  0.15  0.   -1.  ],-5.46830230223625,-5.47201279032771,-5.474381534992914,-5.4692984909499565,-5.467827143218661,-5.467253994660314,-5.475202467792373,-5.466788836227082,-5.469089991237467
[ 0.15  0.05  0.   -1.  ],-5.4575189756450255,-5.459339764622169,-5.45579863884589,-5.456702989636322,-5.4618766908389125,-5.459634163519227,-5.457266081163125,-5.468546608158861,-5.458697349646631
[ 0.25  0.25  0.   -1.  ],-5.378070874106226,-5.376917490639512,-5.38123829253908,-5.384074136490575,-5.385057685386247,-5.378655161594131,-5.376185940435029,-5.377621455020689,-5.393748913399834
[ 0.25  0.15  0.   -1.  ],-5.651934537442096,-5.652935004898531,-5.661400084844576,-5.659803201340084,-5.654480167510729,-5.652119831695263,-5.654097671579587,-5.656604067562161,-5.659539145658667
[ 0.35  0.25  0.   -1.  ],-5.303021539894231,-5.301252383234811,-5.30154175009859,-5.30567161696008,-5.305381847571746,-5.30701418873721,-5.308124501329451,-5.301713167029122,-5.302297853911721
[ 0.35  0.35  0.   -1.  ],-4.554820531807878,-4.554313287189208,-4.5625230837548525,-4.554053688001579,-4.553126545074661,-4.55747220173787,-4.565055227616519,-4.548992678283338,-4.551040403456108
[ 0.45  0.45  0.   -1.  ],-3.5019038926686026,-3.5015548022858587,-3.510657839286101,-3.503523233588404,-3.5036102147401076,-3.5015770087659295,-3.5062216991883415,-3.492685645971614,-3.512394837856559
[ 0.55  0.35  0.   -1.  ],-4.2873681064742035,-4.2866255184235085,-4.294899618584646,-4.294903102048908,-4.289711314714616,-4.286367333841586,-4.303739465067108,-4.295263092622959,-4.286345151372601
[ 0.55  0.25  0.   -1.  ],-4.295350569971511,-4.297477389944099,-4.29175056014188,-4.296925420547877,-4.288504601070375,-4.298214144544979,-4.298126410264372,-4.2914110512951416,-4.289665527791815
[ 0.55  0.45  0.   -1.  ],-3.4735690013619105,-3.4647685092236626,-3.4817037006150655,-3.4661610743911058,-3.468816555389835,-3.4657540665998745,-3.479091423722087,-3.4710301035661737,-3.4686297229133034
[ 0.45  0.35  0.   -1.  ],-4.385451518488746,-4.37848278445523,-4.386464517006753,-4.387631940678597,-4.3790918266460865,-4.37890244012485,-4.38808673392096,-4.378026137914593,-4.379695201682165
[ 0.05  0.15  0.   -1.  ],-5.326248893981663,-5.320634376386128,-5.32246419645406,-5.325672193245319,-5.330907780378143,-5.32405501877821,-5.321276154421275,-5.328621232616631,-5.329754862532305
[ 0.05  0.05  0.   -1.  ],-5.357363318017121,-5.352303871281267,-5.356976022535874,-5.354650650395099,-5.352116811516867,-5.354694186767037,-5.35241507354946,-5.36224819482717,-5.361298178703693
[ 0.25  0.35  0.   -1.  ],-5.063643464461782,-5.060658295845561,-5.070867509386077,-5.065804943811337,-5.064794272753804,-5.060321633911471,-5.067257940313933,-5.06187485709354,-5.062804817654648
[ 0.45  0.25  0.   -1.  ],-5.204867102761198,-5.202755146382002,-5.203214602408045,-5.208021080759105,-5.2015062106641095,-5.204356346292814,-5.220772305128531,-5.202143410171406,-5.214941076615363
[ 0.65  0.15  0.   -1.  ],-3.5023712194721455,-3.5022522888203174,-3.5019275714574283,-3.5086193326822834,-3.5048167738924656,-3.509107119522585,-3.507502408553214,-3.501007891333705,-3.499399836451222
[ 0.75  0.15  0.   -1.  ],-3.1035535195356374,-3.1124481850072057,-3.104423285655685,-3.106900761993928,-3.1085299551599475,-3.110386614564503,-3.1057768297838293,-3.103086206225381,-3.1085103216415897
[ 0.65  0.05  0.   -1.  ],-3.1736446774702705,-3.1722503388215144,-3.174372777831673,-3.1725648340965513,-3.1740808787877746,-3.1733807713661264,-3.174243613536107,-3.175350155668655,-3.1678988335584664
[ 0.75  0.05  0.   -1.  ],-3.0235560183193138,-3.029929063761141,-3.023777102820432,-3.0310513268687576,-3.0266408186259564,-3.0272227617086207,-3.0227517665481027,-3.0266087397712846,-3.0225454537740832
[ 0.85  0.05  0.   -1.  ],-2.7157506220957375,-2.7232695900253723,-2.715914344779197,-2.7216015393828674,-2.7130298360440808,-2.7186927655107653,-2.7183219912555097,-2.7182593334550496,-2.720372166352868
[ 0.65  0.35  0.   -1.  ],-3.698557377832437,-3.6984542430377116,-3.696690512563035,-3.7023484303319254,-3.694672973376098,-3.6930899636931844,-3.706372172593614,-3.697133473072414,-3.699845386318867
[ 0.65  0.25  0.   -1.  ],-3.6589709389852016,-3.6582282176495142,-3.660276693607781,-3.6628297561770133,-3.656424199758002,-3.6713464548568466,-3.6629684537658562,-3.6570032668605466,-3.6586355548518465
[ 0.95  0.15  0.   -1.  ],-2.6063042876927893,-2.607383012559926,-2.610407047273846,-2.613211355434307,-2.6054333658291355,-2.6137006995972056,-2.6120170501274576,-2.60769381317884,-2.602471553287637
[ 0.55  0.55  0.   -1.  ],-2.465584212051007,-2.4656488982722102,-2.464332120764649,-2.4723544414169973,-2.465429557366669,-2.4659071247788527,-2.473325048032618,-2.4596607949313607,-2.4701155786860127
