,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-7.212145599723682,-7.204541395689582,-7.214731013576385,-7.209721611315492,-7.221484125643844,-7.20606134825079,-7.207832898472734,-7.202167908160756,-7.21431645536854
[ 0.25  0.25  0.   -1.  ],-6.343756744001052,-6.3376582046555745,-6.347261608597238,-6.343393850067726,-6.352021335818047,-6.343091807858449,-6.340497797903755,-6.336410793804293,-6.3712385147079225
[0.35 0.15 1.   0.  ],-5.197770748604856,-6.991564355017027,-5.814686671248011,-6.224910431005711,-4.9324715174590965,-6.75509803340309,-6.165233354076323,-7.116222217458878,-5.096210366264308
[0.35 0.15 6.   0.  ],-5.015737747213793,-6.996919856063222,-5.705715875492993,-6.238777592537661,-5.123437912949051,-6.688534399018545,-6.03021517584903,-7.100647787474977,-4.8457201841068125
[0.35 0.15 6.   1.  ],-4.87853262536537,-7.023389662960006,-5.879797535978194,-6.260748832004159,-5.194634472323147,-6.708140581827965,-6.006434951392563,-7.103760812707733,-5.287002679725315
[ 0.35  0.15  5.   -1.  ],-4.917875655906028,-7.0556253248773455,-5.549062272405897,-6.265447104806071,-5.225967917253397,-6.831378093438845,-6.188340061006733,-7.115744940963835,-5.251328707458764
[0.35 0.15 6.   2.  ],-5.259589166915007,-7.034581310048993,-5.5604171780246725,-6.208602904053665,-4.831934662413053,-6.806379390990951,-6.097120161887797,-7.1500077455278515,-4.968305972904766
[0.35 0.15 4.   1.  ],-4.868941878771455,-7.008048281392236,-5.8453855561574635,-6.208537497698814,-5.252575054959673,-6.771499420343156,-6.01815698115928,-7.113583966120033,-5.25073498916445
[0.35 0.15 3.   1.  ],-5.007911666256837,-7.008756737352867,-5.921891983046418,-6.330228262668941,-5.034029039358614,-6.8060687737430925,-6.034659522668486,-7.114028000288556,-5.260818880575728
[ 0.35  0.15  3.   -1.  ],-5.381886248843297,-7.039077858013032,-5.863961845755545,-6.31468278272978,-5.33505797606954,-6.847728983891967,-5.949979242411445,-7.088713766749649,-5.238656987811409
[0.35 0.15 1.   1.  ],-5.2964138519489605,-6.9931859053773,-5.671988706403051,-6.073810159262955,-5.238611709224922,-6.814977071573047,-6.082048802067272,-7.110993975722454,-5.023573881346162
[ 0.35  0.15  2.   -1.  ],-5.395475426697119,-7.010017138428713,-5.802709454987175,-6.315776307904759,-5.426825106823823,-6.819875262601622,-5.93752164152763,-7.0934082193969825,-4.920495216487509
[0.35 0.15 0.   0.  ],-5.38160381200979,-6.991009407435721,-5.788203997461139,-6.321042203694584,-5.1326316749782235,-6.780940264537508,-5.998240133306783,-7.1119972620445555,-4.859930868981466
[0.35 0.15 8.   0.  ],-5.069992279878557,-7.032610336664176,-5.536273866398524,-6.214460519241568,-5.106956641440421,-6.762492493618659,-6.128436564174353,-7.125794498525657,-5.227181623722601
[0.35 0.15 7.   2.  ],-5.102621206005717,-7.0454532260249865,-5.703342270289884,-6.218667221973033,-5.100851518622868,-6.76834983754213,-6.140332640031031,-7.110273585689466,-5.390578893353955
[0.35 0.15 3.   2.  ],-5.167624916573679,-6.99215404171427,-5.677141980782951,-6.306082746547909,-5.030840033444567,-6.6997753930983945,-6.005734807571321,-7.116431210987579,-5.338171977568104
[0.35 0.15 7.   1.  ],-5.3452915237143905,-6.974069187498624,-5.6374559828956246,-6.282440369676988,-5.34956289534376,-6.714288643541057,-6.031820510147671,-7.094222285346651,-5.311474790857012
[0.35 0.15 9.   1.  ],-5.273385368911163,-7.042004183195184,-5.587130461027776,-6.2164757527441825,-4.9387666475263625,-6.785631153987532,-6.164972696997734,-7.09334181461841,-5.017873688990925
[0.35 0.15 5.   2.  ],-5.468991938545605,-7.010717735062635,-5.6337357345515215,-6.362849020044558,-5.186328756350494,-6.727867577100259,-5.886835935795667,-7.098342984899262,-5.045536517724578
[0.35 0.15 4.   0.  ],-5.226203775896907,-6.981489195998503,-5.917831096368271,-6.1478260389350465,-5.294280439487408,-6.693049901932419,-6.178047738138213,-7.097957057192291,-4.688837579105302
[0.35 0.15 7.   0.  ],-5.059179180675155,-6.9362908161724866,-5.777219808078717,-6.2382434495298575,-4.815534393808899,-6.8268708109514336,-5.925769568959086,-7.160001381039518,-5.314311627246313
[0.35 0.15 0.   2.  ],-5.181993556342449,-7.015704141581366,-5.509110092420176,-6.322049250168336,-4.853395665366135,-6.813945847551319,-6.092920792327588,-7.097117592013528,-4.6047203555877125
[0.35 0.15 9.   2.  ],-5.043997074048704,-7.011719539537013,-5.608981574565646,-6.239931727154223,-4.906741267842533,-6.788712196902648,-5.9713323624247305,-7.111085260330322,-5.1819619881895385
[0.35 0.15 2.   1.  ],-5.256872535756657,-7.005053055237624,-5.982750064854708,-6.332293347177555,-5.14482367018585,-6.7339501956876795,-6.245733886377111,-7.0994578253452625,-5.18711439059609
[0.35 0.15 2.   2.  ],-5.388409340001351,-7.017758338072193,-5.748231414180887,-6.134067796027703,-4.988610100229143,-6.785345069898393,-5.78524046708866,-7.125338520716897,-5.315965933391173
[ 0.35  0.15  9.   -1.  ],-5.489550056249089,-7.043017872993882,-5.6655371486232005,-6.280009959255719,-4.899600316942356,-6.7790708039591046,-5.881594387873724,-7.115997862290415,-5.179331119773171
[ 0.35  0.15  4.   -1.  ],-5.189566755049574,-7.038748292734607,-5.802475488277401,-6.070387939006553,-5.159781872935262,-6.796402620943695,-6.153931539878682,-7.113428011770275,-5.259294868205761
[0.35 0.15 1.   2.  ],-5.432999599051288,-6.998504441067096,-5.8967046049325775,-6.049708459480941,-5.018204157935835,-6.823174138662946,-5.825137189558746,-7.094757260654658,-4.74711370233338
[ 0.35  0.15  1.   -1.  ],-5.40418981411074,-7.002750834156687,-5.5782267377089765,-6.25219946254545,-5.491011637700715,-6.791417716522661,-6.025688465623703,-7.111256521178519,-5.579534080433307
[0.35 0.15 2.   0.  ],-5.048352504986006,-7.0125877831579455,-5.521918405186815,-6.315277720362036,-5.289173599475312,-6.74368263526085,-6.190937368376539,-7.113815674705471,-5.156415872907442
[0.35 0.15 4.   2.  ],-5.548992673480494,-6.9952161329480145,-5.937441107846144,-6.096019689548356,-5.374391874073073,-6.663918743968998,-6.207204146752904,-7.0989438896214665,-5.357260265353715
[ 0.25  0.35  0.   -1.  ],-6.034092624510611,-6.035753703669805,-6.0398393011824085,-6.031890932393418,-6.032833329187085,-6.045372598584709,-6.032867196837266,-6.041384454715211,-6.031865511313426
[ 0.25  0.25  7.   -1.  ],-4.4755983129064365,-4.944058236157451,-4.194273674082163,-4.2255368520061,-4.0140077549990485,-4.185824686886771,-4.335756271607559,-5.904935155515926,-3.572781665835817
[ 0.25  0.25  9.   -1.  ],-4.137035954361997,-4.663997453712489,-4.198155592553672,-4.1104903801423776,-3.8841583650201064,-4.1447020047173035,-4.828779305253974,-5.8356660181054725,-3.3749263649587595
[0.25 0.35 2.   0.  ],-4.205324559289695,-3.810242216036589,-3.73976465875899,-4.081961691406666,-4.6110470782683555,-4.018197426289562,-3.674063030132022,-3.6632450840105197,-3.936387824363917
[0.25 0.35 8.   2.  ],-3.9402646670711827,-3.9595041007900735,-4.410928711555154,-4.117161681420118,-4.701791845713645,-3.887533721827268,-4.396409954940552,-4.175471286010899,-3.832914189412076
[ 0.25  0.35  3.   -1.  ],-4.132147075114625,-3.784976484590959,-3.8569234040965696,-4.2634448294612834,-4.675292085079483,-3.8876287801564575,-3.587675340004303,-3.840863716510656,-3.416919364291887
[0.25 0.35 9.   2.  ],-3.688461421262103,-3.7072938696741438,-3.9700286097115858,-4.0054865753778515,-4.622689745848599,-3.8861550974584587,-4.1034729641435215,-3.919348330396874,-3.526283804206421
[0.25 0.35 1.   2.  ],-4.022196127125946,-3.9289942410137777,-3.520005561309882,-3.687969534620194,-4.467398232964194,-3.7335968882537505,-4.2436452438784045,-4.243564550730057,-3.829911305634171
[0.25 0.35 9.   0.  ],-4.168146374744117,-4.223315590255131,-3.972675908794589,-4.253425380378591,-4.436249391531749,-3.6821655037841716,-3.8513420633623654,-4.153816275766436,-3.7164480884110196
[0.25 0.35 3.   2.  ],-4.01487405641612,-4.163547398927007,-3.991340279237202,-3.7786325983885596,-4.717500550526108,-3.813079894828067,-3.9574432175959284,-3.917792381868512,-3.643496706375179
[0.25 0.35 2.   2.  ],-4.181171515618148,-3.626657732228914,-3.770309679947575,-4.17511326994232,-4.418974303422004,-3.8499427908250063,-4.234628560746182,-3.8956089589101244,-3.9312706507659545
[0.25 0.35 0.   0.  ],-3.757481061723557,-4.057447512293545,-3.639604129163102,-3.715702111895324,-4.683104627168749,-3.903220098279634,-3.8845572341314294,-4.201538223705593,-4.04016788194023
[0.25 0.35 6.   1.  ],-3.6171933006393657,-3.9436899005396833,-3.8075907975468954,-3.8147007775719053,-4.427645167972519,-3.8948827737465272,-4.270011957653622,-4.58610504056357,-3.40519895963718
[0.25 0.35 0.   2.  ],-4.251762667845346,-4.146553123908819,-3.6586891583844157,-4.424219145418259,-4.613570278498163,-3.9416493910272443,-3.9642560026217484,-4.059225502395741,-3.6070658885284157
[0.25 0.25 3.   2.  ],-4.666430847397667,-4.730022769684311,-4.240788842674393,-4.324861329285019,-4.146586895569923,-4.2252251570972685,-4.455036355278827,-5.756064420557941,-3.603181060107837
[0.25 0.35 4.   0.  ],-4.386376381169002,-3.793176766036578,-3.9581455748954406,-3.982774347934754,-4.679813490454262,-3.9073126012930253,-4.0036911072405434,-3.9341550747809038,-3.6093584023221026
[0.25 0.35 3.   1.  ],-4.315005556022544,-3.7889504886475516,-3.892171351793398,-4.011210698517697,-4.6715823342433405,-3.8777634388907765,-3.9625685285079166,-4.23572773551182,-3.81096710681494
[ 0.35  0.15  6.   -1.  ],-4.943262648323797,-7.027652636150588,-5.725609944746849,-6.129980351724517,-4.932884778007496,-6.846813285037415,-6.263117629633971,-7.091172792804128,-5.023573748564241
[0.25 0.25 1.   2.  ],-4.521225746333511,-4.835665250212467,-3.816065646869613,-3.9158919373735785,-4.161349036566264,-4.404758667417923,-4.411046851621635,-5.946521864748903,-3.444746120699636
[0.25 0.35 5.   2.  ],-4.12309834778664,-4.17295753637345,-3.4378322885819923,-3.9722960881691964,-4.714224783388676,-4.235308859951725,-4.190409207301253,-4.015211600147912,-3.5527851606177996
[0.25 0.25 1.   0.  ],-4.429510597449187,-4.974841770164499,-3.788042778775062,-4.303853385289378,-4.258895725155183,-4.093564436340212,-4.45784340452576,-5.882143500912989,-3.046756768355706
[ 0.25  0.35  1.   -1.  ],-4.351238377475353,-4.013522284195443,-4.079210891615316,-4.476394631506912,-4.637896883451845,-4.181931398399794,-3.8470707265201796,-4.249479114662943,-4.0093210711539005
[0.25 0.35 6.   2.  ],-4.189080288249024,-4.239609678745756,-3.8294602208493127,-3.8456869235383127,-4.636446105211938,-3.917187463049083,-3.7755329586007687,-4.119415263713134,-3.5683234038014704
[ 0.25  0.35  2.   -1.  ],-4.4804685915716815,-3.6485160513622876,-3.25953942810462,-4.282724159858431,-4.4936153444893785,-3.5526291339480593,-3.769533126523732,-3.9946710160873584,-4.207847860689341
[0.25 0.25 2.   2.  ],-4.552334585518507,-4.766745437435334,-3.9896596021635427,-4.20787186170605,-4.164212870913415,-4.367579274379599,-4.366900779584931,-5.761594670828665,-3.197642924545836
[0.25 0.25 4.   2.  ],-4.706702686684813,-4.7960032197449625,-3.8977274592702496,-4.156030719200311,-4.279369814610182,-4.185663350726567,-4.066972949557735,-5.857081857356784,-3.661613457945814
[0.25 0.35 0.   1.  ],-4.0673969039412485,-4.071913660968382,-3.4944383821362437,-4.290719753265063,-4.539383835320311,-4.09162789928443,-3.6359654121589426,-3.7763887993458587,-3.8687736233220495
[ 0.25  0.35  9.   -1.  ],-4.032206233736246,-4.072174012087174,-4.05720553981986,-3.989868306809047,-4.555399682384673,-4.083316751877734,-4.032394470180053,-3.912001285092054,-3.4476847517491365
[0.25 0.25 8.   0.  ],-4.4602687037077,-4.882979254939326,-4.005695496924123,-4.320804485148338,-4.278033590437185,-4.416706529179727,-3.977616713821215,-5.739255737133062,-3.7036205225586407
[0.25 0.35 3.   0.  ],-4.094107787004996,-3.912052714183699,-3.8709570415791466,-3.8100126397071077,-4.7578398295060795,-4.087956444995248,-3.8721891804375907,-3.9703609176144097,-3.5962707684341626
[ 0.25  0.35  8.   -1.  ],-4.176884158114572,-4.047817089017608,-3.8992028654822253,-3.8862013268267415,-4.665495579243786,-4.106519414982893,-4.1621551229569045,-3.7854973319934393,-3.406084752211182
[0.25 0.25 7.   1.  ],-4.87249446138093,-4.928045136654115,-3.573752086311239,-4.0044272226588165,-4.289736552838096,-4.590701776960953,-4.120804789941968,-5.648456521664986,-3.2636162072642256
[0.25 0.25 9.   1.  ],-4.472118535666276,-4.9311553787276345,-3.8675592724331347,-4.591189334792421,-4.3527827234135525,-4.288614127542316,-4.285530222944877,-5.853789388641528,-3.7364019292203703
