,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-5.646048950470372,-5.641905588946017,-5.645206386425499,-5.641601379218168,-5.645767390856736,-5.641264380696343,-5.643310099107566,-5.638764181815278,-5.641353668867127
[ 0.35  0.25  0.   -1.  ],-4.756000912458319,-4.756451213886985,-4.765215594858541,-4.757178678589944,-4.757844193243329,-4.754942100070424,-4.7618611441176215,-4.7554442534668135,-4.757763785260941
[ 0.45  0.25  0.   -1.  ],-4.614468320170014,-4.6129549728794945,-4.616873999219247,-4.613874677380561,-4.610954379706459,-4.613387556725766,-4.615118429261676,-4.61081206710709,-4.612779697289062
[ 0.25  0.05  0.   -1.  ],-5.089166196964508,-5.084165993355621,-5.079878737111533,-5.083919045792971,-5.088641585479184,-5.086311710202346,-5.088911781907654,-5.090651795227736,-5.08446942849796
[ 0.35  0.05  0.   -1.  ],-5.227101035601046,-5.227042060368103,-5.225429948826475,-5.220032336256714,-5.229119718736509,-5.227423252299558,-5.224581986105957,-5.22820672081315,-5.2204697490782745
[ 0.25  0.15  0.   -1.  ],-5.040097415508828,-5.0366189213556884,-5.0416402577098784,-5.0330763709519974,-5.046814703911175,-5.03699523688621,-5.038141229303354,-5.031973431955724,-5.039259381273795
[ 0.15  0.05  0.   -1.  ],-4.721925775818482,-4.721494824851488,-4.720274899693666,-4.719679713258094,-4.715729794377981,-4.7176531249633,-4.716137334712184,-4.721486014448216,-4.712642694230831
[ 0.05  0.15  0.   -1.  ],-4.517329208658821,-4.523903360440434,-4.526539962058371,-4.52157146074346,-4.520568556799911,-4.522044299567027,-4.5203745255490695,-4.521710841069337,-4.51986192144873
[ 0.05  0.05  0.   -1.  ],-4.492023853589312,-4.4952956719767565,-4.494566980011543,-4.496425051560594,-4.488653700106765,-4.497767824151663,-4.498210077696693,-4.489399920502167,-4.492664084170096
[ 0.55  0.35  0.   -1.  ],-3.6889802460062633,-3.682295255438563,-3.6916187917085335,-3.692789454398608,-3.681874855000939,-3.6819553594595678,-3.6994031911420713,-3.6826141456082526,-3.6823057541943363
[ 0.55  0.45  0.   -1.  ],-2.9637341468277083,-2.9560217511447973,-2.97048563405071,-2.9635208305111136,-2.9643313263789968,-2.9567776557353436,-2.966205768739332,-2.963520786335011,-2.9571980125442217
[ 0.15  0.15  0.   -1.  ],-4.7286485536092675,-4.732453675498229,-4.734550511230227,-4.734164999356968,-4.737156714678406,-4.733805607402433,-4.736020648333831,-4.7312450688952605,-4.741810848178392
[ 0.45  0.35  0.   -1.  ],-3.8381555115148496,-3.8369681832367344,-3.843412120216738,-3.845417541544664,-3.8442703188696843,-3.839175748237938,-3.855549011971104,-3.837749721173403,-3.838939045935541
[ 0.45  0.45  0.   -1.  ],-3.0236262334518496,-3.0244071809514272,-3.0346887259726425,-3.0301944362638427,-3.032006222213234,-3.024032905845223,-3.0317801173115315,-3.023113521713867,-3.0265190405031306
[ 0.35  0.35  0.   -1.  ],-4.012536440554275,-4.01036874482064,-4.021266481970198,-4.013003406995552,-4.009162269456872,-4.020361358648742,-4.008718009303163,-4.005127319927384,-4.018894336347393
[ 0.25  0.35  0.   -1.  ],-4.503189514359916,-4.502158572361825,-4.514290277697344,-4.5030695470136735,-4.504025485816568,-4.51069593865726,-4.502985821525373,-4.507257450447638,-4.509321862533491
[ 0.25  0.25  0.   -1.  ],-4.809795258588353,-4.8106081617401895,-4.820055929950481,-4.813381238344725,-4.825967938818171,-4.815976405509865,-4.8131103850255155,-4.808885063165632,-4.820795721887043
[ 0.55  0.25  0.   -1.  ],-3.6700528857112404,-3.6631465250265216,-3.6655420102345926,-3.680057880683765,-3.6609093862435897,-3.6639653830379357,-3.6645036192339853,-3.6634603109537944,-3.661607799420359
[ 0.65  0.15  0.   -1.  ],-2.804620310384582,-2.808571696892577,-2.807404629608979,-2.804120736315236,-2.8030193378799293,-2.8181703387975583,-2.809799233335111,-2.8081960891532316,-2.8048152059951925
[ 0.65  0.25  0.   -1.  ],-2.9648954675499533,-2.965481660779497,-2.9619661311393832,-2.9776495499297964,-2.962237623793043,-2.963792265501761,-2.9703680072751135,-2.96245239387723,-2.9645538943955705
[ 0.65  0.35  0.   -1.  ],-3.0432685589175787,-3.0459137509665677,-3.046883456635849,-3.0463065769376887,-3.0397747603411434,-3.043515867220203,-3.0395114876041247,-3.0462534036509474,-3.03776102063626
[ 0.55  0.55  0.   -1.  ],-2.0667492690314937,-2.0580282573007884,-2.0710523631544517,-2.0590303771957097,-2.0645676273128357,-2.058582400477289,-2.0729238321597285,-2.0573340460970884,-2.0644632367772107
[ 0.45  0.65  0.   -1.  ],-1.408320924112649,-1.4124930751707472,-1.418543115062034,-1.4124457053819257,-1.40768504262657,-1.4107206860531811,-1.408163710702826,-1.4117119241234617,-1.4134581482233817
[ 0.65  0.05  0.   -1.  ],-2.324596545569665,-2.3289087390724825,-2.326804984324275,-2.3237840704554524,-2.330146258365953,-2.330079160393269,-2.3272686251731094,-2.3228578677825116,-2.3235443488792114
[ 0.75  0.15  0.   -1.  ],-2.2769714669143446,-2.278451290775274,-2.2776195860041946,-2.276935206974875,-2.2782847837550295,-2.286829307480771,-2.2846784622035075,-2.2778265370452986,-2.280238639340897
[ 0.75  0.35  0.   -1.  ],-2.4267287789642116,-2.4254637101360013,-2.4331700419905644,-2.428699597872747,-2.425553533578709,-2.4266207990220257,-2.4258162873343445,-2.434281278113512,-2.4293325868534237
[ 0.85  0.35  0.   -1.  ],-1.8981942379303658,-1.898059508705708,-1.9059934658426896,-1.9076478867392557,-1.8986109195345693,-1.901717658967614,-1.9086955685612261,-1.9061887076644732,-1.9042061144353388
[ 0.95  0.35  0.   -1.  ],-1.568395640145325,-1.5687034133248465,-1.5630914820037016,-1.565844579520543,-1.5686741497087533,-1.5589213775047708,-1.5704806234117545,-1.5687439694104155,-1.5614794753626606
[ 0.95  0.25  0.   -1.  ],-1.5986627778475502,-1.604646487211228,-1.6038141535126553,-1.600634873216051,-1.598711477709895,-1.6031781298968406,-1.6105503508157055,-1.606946134808126,-1.5980720749466182
[ 0.85  0.25  0.   -1.  ],-1.9179340397607547,-1.9177692673611484,-1.9205494385118895,-1.9221809441491096,-1.9156636623641128,-1.9280377394920858,-1.9162088775021597,-1.9197460602663419,-1.9199132901200662
