,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-7.370528134496364,-7.365247963113248,-7.366309202620952,-7.3681789983092285,-7.371885169751483,-7.367465956678728,-7.370495229565621,-7.366968596193546,-7.3820163763836435
[ 0.25  0.05  0.   -1.  ],-6.991984373760401,-6.996137155672302,-6.997708954109183,-6.997379240273013,-6.994381059398669,-6.999120883817659,-7.000277340164224,-6.9921348171622215,-6.991957051639801
[ 0.35  0.15 15.    3.  ],-3.0927062846091418,-6.649016695070356,-4.330415263966903,-4.991810515958373,-3.640720684769704,-5.865583727188836,-4.525754511732694,-7.097010871385563,-3.740249834427898
[ 0.35  0.15 12.    0.  ],-3.005893099410287,-6.220657910172483,-3.6251714527573484,-4.310445543350301,-2.997989195596192,-5.575370411137679,-4.092890094651834,-6.9177461273301795,-3.1047097917367052
[ 0.35  0.15 15.    2.  ],-3.814362989698892,-6.654143644352055,-4.191017013326603,-4.684556797100474,-3.7911229135300255,-5.900333678781943,-4.232120434351797,-7.13191601364964,-3.751540730724873
[ 0.35  0.15 11.    2.  ],-3.161901486717722,-6.239743657659283,-3.437299169619791,-3.9204719192933184,-2.993068296223893,-5.301376735583581,-3.5468224153098955,-7.026054742915941,-3.0363289620506877
[0.35 0.15 4.   1.  ],-3.027860390120291,-6.3488878496430425,-3.247026156534796,-4.04829292819981,-2.937947174995047,-5.1371462096561356,-3.6634853045703273,-6.995844741666917,-2.69555091637522
[ 0.35  0.15 14.    2.  ],-3.358117282343683,-6.6916811742473845,-4.475703227578102,-4.640419302157497,-3.8902738937164587,-6.038209928824061,-4.589521424588644,-7.136626981114109,-3.707313930996809
[ 0.35  0.15  2.   -1.  ],-3.3079943058313384,-6.304301377824859,-3.7810449509155952,-3.6034938349557457,-2.9805635402165973,-5.456119527714139,-3.7134109429324287,-6.969110323002895,-3.084396203125104
[0.35 0.15 9.   2.  ],-2.557521366970889,-6.342679864796826,-3.7408386873461503,-3.892788044219459,-2.776247819782433,-5.43263392989167,-3.5891393593703556,-6.9205686124930175,-3.061999493212434
[0.35 0.15 4.   2.  ],-3.1141551652474813,-6.166874022845106,-3.958903267832445,-4.241996878121835,-2.676653479772219,-5.250659851240017,-3.74139110136312,-7.019541690634492,-2.98862368271119
[ 0.35  0.15 19.   -1.  ],-3.580629116705558,-6.6618308748265465,-4.621650721594373,-4.735682725355806,-3.87101032344685,-5.936221557252076,-4.340910912175212,-7.201137474319019,-3.4127481781177957
[0.35 0.15 7.   4.  ],-3.400020048640942,-6.031621895754009,-3.779813476832246,-4.2642769466458335,-2.9125724123426098,-5.329388700843688,-3.285089913033505,-6.997052828558534,-2.7870657617404797
[0.35 0.15 3.   4.  ],-2.3349738549917207,-6.17538415101769,-3.2868733586953645,-3.804820180546131,-2.9544130469615446,-5.717839305046121,-3.376831366936638,-6.9990633165227205,-2.73453674485824
[0.35 0.15 0.   4.  ],-2.875851244237164,-5.870971825953737,-3.3270277171407487,-3.973616391880244,-3.0152440566549847,-4.863057215265275,-3.7879415684266737,-6.970434321876833,-2.9838933154779688
[0.35 0.15 9.   3.  ],-2.357204543183397,-6.3170647712980985,-3.469403039430295,-4.598360639424559,-2.8564435892393623,-5.396823407624553,-3.991432717385817,-6.967025937373034,-2.3428939100234922
[0.35 0.15 8.   0.  ],-2.756789354772885,-6.044530806341783,-3.488765475646696,-3.8939198512669972,-3.083813848544113,-5.612489964193014,-3.4206390694329216,-6.94137701935436,-2.648735962485102
[ 0.35  0.15  6.   -1.  ],-2.8171958230185368,-6.205557588877141,-3.390292149672128,-3.9318562852942054,-3.013569747388917,-5.378060423977237,-3.534866014055065,-7.001471813734481,-3.0568310059222275
[ 0.35  0.15 16.   -1.  ],-3.630554823364513,-6.675326590050729,-4.42580129643923,-4.817551925576849,-3.780914735497006,-6.047889186208549,-4.525462515751704,-7.1439507189522224,-3.149397513157485
[0.35 0.15 8.   4.  ],-3.056635372868477,-6.328806223019281,-3.2645725010714766,-3.7376962897800756,-2.9917473903788045,-5.570507216935284,-3.8037281022995293,-6.975118119595269,-3.299080085804125
[0.35 0.15 5.   0.  ],-2.687613533325949,-6.336658918278761,-3.59765750957468,-3.81075162482788,-2.98565360882079,-5.290502261166348,-3.3568796332330035,-6.981746341792065,-3.1204359412736076
[0.35 0.15 0.   0.  ],-3.068486860173007,-6.328086495731156,-3.5977454352527296,-3.8435923555030174,-2.7106682615147464,-5.373093451329975,-3.841589676675326,-6.908396591567333,-3.0112347923127083
[0.35 0.15 6.   2.  ],-3.2058010159672907,-6.308071554604945,-3.6339513662555483,-3.5790150162634133,-3.120079317337148,-5.360781060756062,-3.846591539916031,-6.925150241455814,-3.1556153578445136
[0.35 0.15 0.   3.  ],-2.906501059158082,-6.12340167288748,-3.692313381066324,-3.734713839494426,-2.6712456296200378,-5.5518264485859765,-3.716142028445987,-6.993067598652113,-2.933018810861664
