,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.  -1. ],-5.0154724674362745,-5.010296539221092,-5.018572389943023,-5.010926874404589,-5.015527270373767,-5.015392823422495,-5.011916808213624,-5.01236354447908,-5.017679370906988
[ 0.5  0.3  0.  -1. ],-4.041886180065277,-4.03458123475651,-4.042495319749315,-4.040986855143398,-4.039619003839601,-4.036102929210299,-4.047725221942044,-4.042330856110551,-4.038732927761587
[ 0.3  0.3  0.  -1. ],-4.075796239015724,-4.076389041130463,-4.080571697599802,-4.066989819305871,-4.074622625952883,-4.070877938575087,-4.075820962774064,-4.066665730237006,-4.075237473908963
[ 0.5  0.5  0.  -1. ],-3.0867986306087607,-3.0854697659139783,-3.087592378951486,-3.0906310651913453,-3.0907013074878282,-3.0848686668355527,-3.0891740709231765,-3.077333595496157,-3.0946399127081596
[ 0.7  0.3  0.  -1. ],-3.595616395576508,-3.5997755247276912,-3.5947055120508105,-3.6017116752458858,-3.5978684497159947,-3.592744355250938,-3.5928776259223145,-3.5934353139226842,-3.6008866943465394
[ 0.9  0.3  0.  -1. ],-3.6376853453224296,-3.6408503040419413,-3.6353902598633008,-3.6414398633437353,-3.638754343421968,-3.6353819395702005,-3.639136515439263,-3.638215946582389,-3.6349515558947343
[ 0.9  0.1  0.  -1. ],-3.6238374088456506,-3.624566730713738,-3.6208285802807287,-3.6268620005118786,-3.618377756503413,-3.6198140323243857,-3.6183925457881356,-3.6222975444485077,-3.621747530115915
[ 0.7  0.1  0.  -1. ],-3.7326393026952274,-3.7349397025223996,-3.73844807266651,-3.7335189549169074,-3.7357656503897854,-3.744028974675414,-3.7349139431907026,-3.7330942634319504,-3.731135355120834
[ 0.1  0.1  0.  -1. ],-4.5935169031519125,-4.595198161761836,-4.588550980244353,-4.595894411900242,-4.591326030801189,-4.593897247306571,-4.591565764340258,-4.591781270820443,-4.588882045770481
[ 0.5  0.7  0.  -1. ],-2.4933927432499727,-2.500607475499027,-2.5078283159546775,-2.4942458366914924,-2.4929326763656947,-2.4973578585146483,-2.5003009615334904,-2.4927130729050813,-2.494386875657801
[ 0.3  0.7  0.  -1. ],-2.5576890192144583,-2.5594268042739,-2.5654110731524744,-2.561949982020665,-2.5664184173277027,-2.5641588691792903,-2.55741447113792,-2.56016806371097,-2.5660544307532023
[ 0.1  0.7  0.  -1. ],-2.3642621953465484,-2.3579014169191583,-2.3563897610928732,-2.3628319819381747,-2.3562927888032426,-2.355821336631194,-2.3648950770121835,-2.3589889764638716,-2.3595354198909626
[ 0.3  0.9  0.  -1. ],-2.3961969997844115,-2.392689830893448,-2.4008079584773534,-2.391234772143929,-2.3952576205945855,-2.394179150206054,-2.3985262891285593,-2.3959077391988552,-2.391847293107078
[ 0.1  0.9  0.  -1. ],-2.384686906027158,-2.3841410852757905,-2.3802786602492256,-2.3764189880764786,-2.3759320904055756,-2.383218652064371,-2.385326054810627,-2.3774162008840376,-2.3874022791568126
[ 0.7  0.7  1.  -1. ],-2.0457369532092056,-2.0460541961795364,-2.044893167778895,-2.0577747263324935,-2.043762375523112,-2.043957514254477,-2.0466801135796593,-2.044710736858792,-2.0465215778034187
[ 0.9  0.7  2.  -1. ],-1.1707270321121634,-1.1697133623792948,-1.1717554097740848,-1.175624715675425,-1.1800077099957031,-1.17418945786165,-1.1754283382101074,-1.1790214966854962,-1.1731805388986933
[ 0.9  0.9  3.  -1. ],-1.2164612426148662,-1.2176591440760514,-1.2228793929395136,-1.2199896822844745,-1.220063684531971,-1.2205436865930064,-1.2248388564147634,-1.2190823284147956,-1.2219134997958383
[ 0.7  0.7  4.  -1. ],-1.1150000190126117,-1.1138405815874843,-1.1164108509145811,-1.1264617080291475,-1.1151676559140904,-1.108718628313096,-1.118136589514876,-1.1107439116186328,-1.1150031916185095
[ 0.9  0.7  5.  -1. ],-1.1364799603108566,-1.1367068342473259,-1.1299508269957537,-1.1279683224869057,-1.1311268402241765,-1.1291648602802171,-1.1342731034021976,-1.1285024287816727,-1.128079674654573
[ 0.9  0.7  6.  -1. ],-1.0633107032992661,-1.0688195864123102,-1.062376509144133,-1.0681166090426144,-1.0649234712912259,-1.0703426115963797,-1.0693937929963662,-1.0658296597645434,-1.0640234868372047
[ 0.7  0.9  7.  -1. ],-0.9510741403997943,-0.9592948344566945,-0.9588232315213062,-0.9582567305756435,-0.9547528032214999,-0.952318019004039,-0.9699013771223812,-0.9582850824179829,-0.960475681059617
[ 0.9  0.9  8.  -1. ],-0.9432247876363752,-0.9460877038413071,-0.9504994661909542,-0.9472149567254347,-0.9450992665280861,-0.9496870010026466,-0.9493178148136838,-0.9440000070907254,-0.9514770946387218
[ 0.9  0.9  9.  -1. ],-0.8935390671719184,-0.8918429989002317,-0.8877534396672989,-0.8921075179175286,-0.8857387406188357,-0.8925672510438356,-0.8928380225438268,-0.8910360704092507,-0.8943612779959318
[ 0.9  0.9 10.  -1. ],-0.836236553577918,-0.842390002532112,-0.8429053318470705,-0.83646271536764,-0.8415352384090137,-0.8429110082592618,-0.8397903478118586,-0.835392525146342,-0.8439335879220023
[ 0.7  0.9 11.  -1. ],-0.7406460591216585,-0.7397363789956306,-0.7333640894492591,-0.737321311155032,-0.7375355063917763,-0.7415915900540653,-0.7380911049810635,-0.7426969963616166,-0.7389203888665042
[ 0.7  0.9 12.  -1. ],-0.700559239359833,-0.7022302509585562,-0.7075908434045909,-0.7050111259904577,-0.7056821145268887,-0.6997886878652069,-0.7303833277125064,-0.701474432354686,-0.6998370091768078
[ 0.9  0.9 13.  -1. ],-0.6881285914203943,-0.6825409155667608,-0.6870725415595351,-0.6855809731789937,-0.6816775618488332,-0.6885437185130654,-0.683871185412781,-0.6905629488181353,-0.6900331380859028
[ 0.7  0.9 14.  -1. ],-0.6108400921858191,-0.6129966168810707,-0.6154090360315403,-0.6122518718147892,-0.6099424424418816,-0.6116350664672523,-0.6238474728264387,-0.6097081135051166,-0.6169591654317321
[ 0.9  0.9 15.  -1. ],-0.6019455680471255,-0.607820672945456,-0.602249017546535,-0.6097361670001985,-0.6008859704523227,-0.6088213998537876,-0.6055286540876683,-0.6083040034824965,-0.6016161269437601
[ 0.9  0.9 16.  -1. ],-0.5582624681462314,-0.5590664258116289,-0.557547556698043,-0.5598353525962899,-0.5593406303341499,-0.5592736584347383,-0.5587635188890386,-0.5595360580384636,-0.5582697750410452
[ 0.9  0.9 17.  -1. ],-0.4770006907693978,-0.4770963363869253,-0.4769083845830399,-0.47871346305500917,-0.4780122600397747,0.13525332932871614,-0.47795590082908307,-0.4786586019188862,-0.4783937682191185
[ 0.9  0.9 18.  -1. ],-0.3956948690502927,-0.3956118674703957,4.0743652937083175,-0.3931339567810596,-0.395573378638354,-0.3963092701784435,-0.3946922313217968,-0.39556621593045993,-0.39569652737912475
[ 0.9  0.9 19.  -1. ],-0.30035751970453795,-0.2992660693455195,-0.29961550398751446,-0.30122656898030087,-0.29982284493381095,-0.2995560334810365,-0.3020701065511618,-0.3003095319810644,0.1361349269383228
[ 0.9  0.9 20.   0. ],-0.2115827293182071,-0.21230876113686112,2.9175733435584,-0.21438678922337145,-0.21238680229998536,-0.21142408738832957,-0.2134512903928369,-0.2145599196850713,-0.21165672350625458
[ 0.7  0.7  2.  -1. ],-1.50937276128037,-1.5079297287956601,-1.5148288234355771,-1.521773079961213,-1.514040889402129,-1.5109265387494828,-1.5478302055920872,-1.5087062043468051,-1.5137905561410099
[ 0.9  0.9  4.  -1. ],-1.18277553552952,-1.1839308106998883,-1.1886886554132183,-1.1811937609938852,-1.1847307372061315,-1.179946675362627,-1.1876333690206355,-1.1807769368094698,-1.17970651212932
[ 0.9  0.9  5.  -1. ],-1.118310406649715,-1.1190475043937471,-1.1158928718914782,-1.1193824465420217,-1.1235767676770279,-1.1162880137334594,-1.1202667013172762,-1.1154603719200251,-1.1171025972493922
[ 0.9  0.9  6.  -1. ],-1.0506337472021507,-1.0572052047907605,-1.056441397102974,-1.053151325284243,-1.0528196313617217,-1.0489883297092473,-1.0503577347660384,-1.05817083297786,-1.052075977181428
[ 0.9  0.9  7.  -1. ],-0.9974345467301805,-0.9995580855720705,-1.0001774277663198,-0.9922172516143796,-1.0014708577218256,-0.9985318837318914,-0.9951795208402022,-1.0006635713117793,-0.9929216388984418
[ 0.9  0.7 10.  -1. ],-0.8250954839237746,-0.8344722072422351,-0.8265615407609813,-0.8300863291438907,-0.8257424289492623,-0.8317812127163927,-0.8328106323815803,-0.8320779288895256,-0.827445464799
[ 0.9  0.7 11.  -1. ],-0.7780833071096012,-0.784510244681623,-0.7788521903525847,-0.7811850704685829,-0.779676388931023,-0.7773595051698295,-0.7805817142505811,-0.7865783006747363,-0.7812814449553792
[ 0.9  0.7 12.  -1. ],-0.7337790559567873,-0.7373598107980693,-0.7343687273339581,-0.7417934065803522,-0.7352166802755402,-0.73873702542647,-0.7402483924198139,-0.7414232847193142,-0.7422084841447387
