,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.   -1.  ],-6.901572276473338,-6.89392796261721,-6.904815512198968,-6.901031934274378,-6.911476096557706,-6.89427990649222,-6.90462322024321,-6.901046240771841,-6.901504266175508
[0.35 0.15 9.   1.  ],-4.535397000468845,-6.551361853137585,-4.748180340786758,-5.450147435965575,-4.393493496919579,-6.200432096454816,-5.313163519467044,-6.768958564186033,-4.053125786017891
[0.35 0.15 7.   2.  ],-4.514696763616908,-6.545251918904741,-4.9081435988333215,-5.302372694807195,-4.101211109818782,-6.22448445068409,-5.457991069697667,-6.775284275082407,-4.601410489630211
[0.35 0.15 2.   0.  ],-4.023207066761231,-6.4673143260678625,-4.352941233656964,-5.406608523858218,-4.379792449829984,-5.900867823132099,-4.93928982798861,-6.776579300041985,-3.788354828530289
[0.35 0.15 9.   2.  ],-4.161758479463369,-6.557742858993252,-4.876732698102263,-5.359962816204669,-4.265683676077027,-6.351394515629778,-5.387580402860925,-6.76902591182161,-4.6181648074136
[0.35 0.15 9.   3.  ],-4.1681309082756215,-6.535012330290043,-5.051194109821465,-5.478572974168175,-4.413729916881773,-6.303468849616409,-5.541582122945197,-6.782925934447167,-4.581692195732489
[0.35 0.15 5.   2.  ],-4.3377367795099495,-6.578439761669477,-5.052339714418713,-5.385242134333969,-4.37486481761826,-6.239895425665627,-5.282106301953021,-6.7566627988343635,-4.415264797913283
[0.35 0.15 0.   2.  ],-4.1214895205763575,-6.469523178527562,-4.463369298599848,-5.244701349112114,-3.8268880697478345,-6.0272978313139465,-4.757518468740388,-6.730929730397261,-4.247666037510713
[ 0.35  0.15  8.   -1.  ],-4.635570079097618,-6.548711451157977,-4.935353273984072,-5.4593789707699365,-4.220808810785374,-6.282339323340684,-5.419807417081609,-6.765489264876687,-4.3317245526159995
[0.35 0.15 4.   0.  ],-4.133135331762742,-6.527582889489893,-5.086329595938635,-5.522606839983796,-4.44048222716582,-6.207555268096125,-5.198741471607211,-6.7412408935527965,-4.266178704779241
[0.35 0.15 8.   1.  ],-3.911780181507922,-6.628772046884875,-5.035725979778203,-5.341163460193125,-4.713811843288042,-6.165611315241586,-5.3993784666994635,-6.762286751060901,-4.433899313982625
[0.35 0.15 5.   0.  ],-4.313315241312725,-6.5793232529145635,-5.035291496541311,-5.481512694114352,-5.006216277290639,-6.175857016533494,-5.291972971912652,-6.7568239750971655,-4.688818211921392
[0.35 0.15 6.   2.  ],-4.249817186186869,-6.5849096772180005,-5.20548116730482,-5.449656490804726,-4.2028406663527695,-6.4391128306298775,-5.40493839403278,-6.770003418268871,-4.719326861494189
[0.35 0.15 5.   3.  ],-4.515568104886017,-6.532129949098328,-5.10382747141802,-5.412539529890984,-3.9331163643257314,-6.25115763895645,-5.2234110977255845,-6.739313558818971,-4.723334770254893
[0.35 0.15 6.   3.  ],-4.181170343764752,-6.547107267188484,-5.04862137870576,-5.530332528873092,-4.534814596846933,-6.3187553087428485,-5.463626428624942,-6.76469835365122,-4.378289621418145
[0.35 0.15 9.   4.  ],-4.138891056628267,-6.544263094858898,-5.099118346650804,-5.61168738115299,-4.340734485532286,-6.228710219816537,-5.2571170285597,-6.787680456842093,-4.360767895693435
[0.35 0.15 8.   0.  ],-4.360530329662287,-6.564976320625046,-4.829590273607944,-5.500443253093133,-4.258102835918942,-6.243493037271077,-5.321024712969472,-6.731968194421471,-4.735111598187193
[0.35 0.15 6.   1.  ],-4.215778228711366,-6.624623275391927,-5.187827498350811,-5.36372417387181,-4.457154136154981,-6.219382879483564,-5.216940628192597,-6.757343233541567,-4.444613245776784
[0.35 0.15 0.   1.  ],-4.206923576370588,-6.548320703075959,-4.356097258431787,-5.197950656151619,-4.377912092450977,-6.0048401533350075,-5.099070346878748,-6.745297602108011,-4.232137421023643
[0.35 0.15 3.   3.  ],-4.351899544185149,-6.6117363543665775,-4.892095132888757,-5.420837527151277,-4.242932124351305,-6.115959789644715,-5.222743286266069,-6.794120643317393,-4.754634333634744
[0.35 0.15 7.   3.  ],-4.79154873237557,-6.597853921675832,-4.853190717011572,-5.538401912084683,-4.448716874453984,-6.17900721657134,-5.22301584098713,-6.728854234443788,-4.456633850156065
[0.35 0.15 6.   0.  ],-4.141590827440756,-6.584172592589813,-5.181284103243658,-5.425648209156659,-4.648449335350355,-6.12502180962939,-5.116133921666504,-6.758499294630721,-4.41095488923236
[ 0.35  0.15  5.   -1.  ],-3.6173882973008125,-6.598552923124046,-4.845144969753114,-5.296446806622751,-4.337073529535868,-6.313014767322645,-5.545233414877429,-6.766246760578127,-4.683909375066653
[0.35 0.15 0.   0.  ],-4.104644846981957,-6.451900470841325,-4.703358701416162,-5.159290365645216,-4.116280489461799,-6.021365016901806,-4.703433113306811,-6.751834801473036,-3.8592555979411536
[0.35 0.15 9.   0.  ],-4.528607445376882,-6.531394099632373,-4.983015722415353,-5.2561310855164995,-4.300347921041705,-6.2555798724584655,-5.295088065146877,-6.732005176333123,-4.640081678695653
[0.35 0.15 1.   2.  ],-3.575986044151505,-6.524738023945171,-4.41816762447831,-5.1438087707398665,-4.120053296659507,-6.045410657901701,-5.086414734771324,-6.717177034071494,-4.2292607253314145
[0.35 0.15 6.   4.  ],-4.125112980225983,-6.517488303066612,-5.274433418742842,-5.360082134373456,-4.2638590893098,-6.307294923286094,-5.318216392445921,-6.76665785868639,-4.52202064712644
[0.35 0.15 4.   4.  ],-4.033269723965615,-6.556096781890989,-5.020344196159809,-5.274108000768155,-4.626755266572504,-6.276734776187432,-5.075034056350653,-6.735726500531541,-4.440004431731365
[ 0.35  0.15  2.   -1.  ],-3.9167390358148944,-6.439989519448045,-4.729600418261802,-5.2662365444125125,-4.099473032667346,-5.951282439378389,-5.18579249033632,-6.701384374377785,-4.314718192352911
[0.35 0.15 4.   3.  ],-4.135342900834667,-6.579030552990294,-5.025878097398718,-5.311319908738484,-4.200548544559709,-6.212731962342918,-5.507665431287141,-6.801972256059814,-4.801252711976936
[0.35 0.15 7.   1.  ],-4.108249932265311,-6.5453656133946,-4.963549956156684,-5.609982592726001,-4.680893296631999,-6.010179432062142,-5.220331912998955,-6.7633920293242396,-4.720124397480237
[0.35 0.15 8.   4.  ],-3.9455633826622356,-6.541740299220404,-4.899082548436983,-5.5204026258038565,-4.379935108525467,-6.18112878542677,-5.367923165241925,-6.735247892538653,-4.709111611416984
[0.35 0.15 2.   2.  ],-4.068443527334307,-6.489491272936849,-4.317016285277175,-5.100512196925198,-4.117264524793743,-6.082551137380452,-4.909468455033721,-6.724051482387662,-4.065144210882451
[ 0.35  0.15  4.   -1.  ],-4.313944331661012,-6.538856806435896,-4.918829716471186,-5.539087836321142,-4.61069175668589,-6.240701889097133,-5.03507932128238,-6.757634662708962,-4.490993186080561
[ 0.35  0.15  9.   -1.  ],-4.388210939844902,-6.532117799085862,-5.153414935400304,-5.290953494546738,-4.527434246614813,-6.286921604281115,-5.079268492195743,-6.761036032329443,-4.81835201015915
[0.35 0.15 5.   4.  ],-4.890176593346525,-6.594964490924526,-4.9468293973425075,-5.476566773882903,-4.587262393975858,-6.1351692608664194,-5.237262495489095,-6.832903814146772,-4.597207566537081
[0.35 0.15 1.   4.  ],-3.810490026443492,-6.4143224074476155,-4.809820480276589,-5.11885647394821,-4.047802768490505,-6.044409841423649,-4.915868040846774,-6.737753717650108,-4.191358668012917
[0.35 0.15 3.   2.  ],-4.82487143485712,-6.606727487315116,-4.9236376065779055,-5.432902141761361,-4.285016041513327,-6.269494004539704,-5.1993914986164596,-6.729804819342961,-4.381409420174909
[0.35 0.15 2.   3.  ],-4.18915218566245,-6.481088864553873,-4.300889619762142,-5.153313795925312,-4.237827283217809,-6.062850094325167,-4.988110713272218,-6.71497090059289,-4.395680813909777
[0.35 0.15 1.   0.  ],-4.174205330261298,-6.530513171634078,-4.7928096336575585,-5.1949728871536145,-4.299706226911231,-6.003640544172321,-4.764800410889254,-6.691380708605311,-3.9687834151150985
[0.35 0.15 1.   3.  ],-4.001204464247858,-6.5110486860756565,-4.431563065919976,-5.2863732987829,-3.799025317927619,-6.034897481456896,-4.92312438687079,-6.773248563293152,-3.854051652146472
[0.35 0.15 4.   2.  ],-4.441974900293071,-6.620046139676789,-5.2598362123444256,-5.269385265345557,-4.556296492033289,-6.2646135256075866,-5.507563524641128,-6.722556365595638,-4.526466219171661
[0.35 0.15 1.   1.  ],-3.9128376237452183,-6.495516377082504,-4.429220124540801,-5.151707962849711,-3.940800421927344,-6.007438279999903,-5.284819126965641,-6.713891166955811,-3.8574418738368004
[0.35 0.15 3.   4.  ],-4.342885617930994,-6.5855612759877715,-4.920352242116856,-5.787808119858857,-4.395635680253533,-6.268431911656364,-5.364425102133338,-6.758448370925256,-4.46767502777218
[ 0.45  0.25  0.   -1.  ],-5.8416332914584155,-5.837453111593722,-5.844427201679174,-5.887456119363124,-5.837462999619225,-5.84068777236803,-5.838454327050219,-5.837208030992694,-5.849384567308199
[0.35 0.15 2.   4.  ],-3.853953040892868,-6.547858028755135,-4.224875473260095,-5.212229042144429,-3.9853648076953245,-6.057833163355932,-4.573361463177516,-6.771799956844789,-3.849980797618909
[ 0.35  0.15  3.   -1.  ],-3.9670032707997445,-6.437038762088632,-4.537561809732053,-5.1504687958379005,-3.717492146629331,-6.036186577352026,-4.979899131074035,-6.7706971145192005,-4.292517855324967
[ 0.35  0.15  6.   -1.  ],-4.617199086299063,-6.522341676492164,-4.883486703452031,-5.693385217906323,-4.26833809625425,-6.214519826251752,-5.295586579843443,-6.761108873453879,-4.485181095999082
[ 0.35  0.15  7.   -1.  ],-4.025699167129115,-6.523021626913276,-5.028147572514496,-5.211182608441375,-4.219810782595789,-6.2360668235323615,-5.243393390136524,-6.770650992716822,-4.28558941438578
[ 0.35  0.15  1.   -1.  ],-4.094705976435033,-6.540123531194866,-4.776422071296124,-4.834211290712826,-4.066770538149402,-6.193293849753357,-5.110699791345936,-6.7167346360072,-3.873726172599054
