,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.  -1. ],-3.74328200771512,-4.0258137014453235,-4.317836977486131,-4.747364286649507,-4.727035400182361,-4.228966270731011,-3.471803556571865,52.50795218717266,-4.600547583193438
[ 0.1  0.1  0.  -1. ],-4.214590678747823,-4.2310275375875674,-4.213976221348663,-4.218190086944363,-1.7553300613062803,-4.221916775454303,-4.225671804418182,-4.2322213637632755,-4.217853783154923
[0.3 0.1 1.  2. ],-3.51759639272094,-4.568235749829191,-3.631701936426056,-4.19792407921426,-3.8254297632615613,-3.8959815638722306,-3.09417066341334,50.07538383542754,-3.672679842481484
[0.3 0.1 4.  0. ],-3.7603422760172727,-4.187248224637584,-3.6885589325520725,-4.042462044712977,-3.971299874623988,-2.714114328879954,-3.287852566282266,50.051684905080265,-3.4099298955611608
[0.3 0.1 1.  1. ],-4.020055821218309,-4.557974479049008,-3.5723635544011763,-4.0900885234597295,-3.8828231028460416,-3.265656628105892,-3.3167362708186894,50.01087221367383,-3.500034496821868
[0.3 0.1 2.  2. ],-3.64944926083309,-4.555594839536969,-3.3958850201614688,-4.070239800908115,-3.693147766325797,-2.265738409216207,-2.9181301437124296,50.118618207812105,-3.662899626952917
[ 0.3  0.1  2.  -1. ],-3.7838835224349627,-4.407778565569868,-3.593474570442243,-4.147535506112544,-3.7497007058019673,-3.7746677039047336,-3.205829337501282,49.70748845324656,-3.493794474245288
[ 0.3  0.1  1.  -1. ],-3.942404510522446,-4.612817522099088,-3.4981244951309476,-4.141308413832786,-3.913852146178655,-2.8365790125819808,-3.0451153420211394,50.43482209198679,-3.610270013779332
[0.3 0.1 0.  0. ],-3.289526285305042,-4.45516980141939,-3.4838228862965774,-4.143000806263717,-3.8436272920639327,-3.093258446035275,-3.606055583883747,49.93874924990997,-3.5547933771896196
[0.3 0.1 3.  0. ],-1.7005127170806802,-4.203746252701017,-3.315754070152176,-4.07658785787593,-3.8335739486282643,-3.1929691543520424,-2.716000470410625,50.53019139153103,-3.422979729505933
[ 0.3  0.1  3.  -1. ],-3.6645561082616194,-4.33815029312204,-3.7238760588320265,-4.1307310790914045,-3.644513029935834,-2.438363859476656,-3.384687929007529,50.26111923752898,-3.6899814051451187
[0.3 0.1 0.  2. ],-3.553184048979047,-4.548939976303432,-3.447976608348953,-4.154669175306681,-3.8079623716618065,-2.3626635248498102,-3.146003620583732,49.99936638740046,-3.5757509570462283
[0.3 0.1 2.  0. ],-2.5330318521391346,-4.44004241528782,-3.5272898783259032,-3.8697665140541955,-3.871026593336234,-2.4538172101316205,-3.3612339289812456,50.60511766843735,-3.6040875161298085
[0.3 0.1 3.  1. ],-3.287224238160442,-4.57295672044357,-3.544146819771878,-4.051257013080015,-3.8887267723814065,-3.849064829941274,-3.697690691368196,49.89608426191375,-3.5219343651830006
[0.3 0.1 1.  0. ],-3.597440474507433,-4.526099179343122,-3.713087168353707,-4.123836003165987,-3.926987089761625,-3.6404635368214753,-2.6872798764254213,50.60614516705349,-3.6489668982980668
[0.3 0.1 3.  2. ],-3.2155034781239764,-4.5858852721164745,-3.953290411776277,-4.003235635399914,-3.765718192752061,-3.1823382653175085,-3.4144854265344673,50.057089122697654,-3.686797332484347
[0.3 0.1 0.  1. ],-3.861311779767093,-4.42700278284229,-3.558122937722575,-4.080594231790483,-3.7028416066639624,-2.955905135232977,-3.096698339590833,50.55073968797541,-3.505106803792801
[ 0.3  0.1  4.  -1. ],-3.0461537925636946,-4.438666269922255,-3.472076590562792,-4.034251455173336,-3.7339538637440715,-3.1224168595338497,-2.974375260234603,50.580683305492414,-3.6145528868859635
