,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.    0.   -1.  ],-2.021232307072821,-2.019100706992251,-2.0216115061965105,-2.0199360554732677,-2.0214864115826248,-2.019909525334809,-2.0197636093170925,-2.018590532494923,-2.0223192050226766
[ 0.25  0.15  0.    0.   -1.  ],-1.7984371671925472,-1.7973553867091274,-1.8010354096343575,-1.7981891967662318,-1.8025964338522384,-1.7988853089821675,-1.7977309934717243,-1.8035242056212697,-1.799384482967916
[ 0.35  0.05  0.    0.   -1.  ],-1.9007946751704585,-1.8990306844160092,-1.899194548283724,-1.9023258019320675,-1.901135490399637,-1.901863417516332,-1.8989699420287136,-1.8987998377652415,-1.9006230628730414
[ 0.25  0.05  0.    0.   -1.  ],-1.8391572609527274,-1.8428798388134684,-1.8419735181736916,-1.8417395769239358,-1.8429915661316152,-1.8398447726356262,-1.8408350145801813,-1.8447354607420636,-1.838744500159279
[ 0.15  0.15  0.    0.   -1.  ],-1.729764695991301,-1.731871752149421,-1.7296492325779746,-1.734158508554314,-1.7304331148950896,-1.7326327619324149,-1.7308833938029822,-1.732416692926108,-1.732951808869269
[ 0.15  0.05  0.    0.   -1.  ],-1.7454944900876501,-1.7467178551010458,-1.7452638014487583,-1.7470736195371845,-1.747070680530709,-1.7457637456047235,-1.7453087099631932,-1.7444905337239642,-1.7450717647605027
[ 0.25  0.25  0.    0.   -1.  ],-1.7097816525044915,-1.7107600836997927,-1.714401145672715,-1.712500053498896,-1.7102024749303897,-1.7092524373936222,-1.713667014896025,-1.712499445573916,-1.7138479920227965
[ 0.35  0.25  0.    0.   -1.  ],-1.6411682397647505,-1.6410312859097735,-1.6488821092549089,-1.6406730775148728,-1.6431102853091613,-1.6455013675545689,-1.6442856703696742,-1.64032044982954,-1.6447192622688582
[ 0.05  0.15  0.    0.   -1.  ],-1.7010904750601414,-1.7003768799053756,-1.700122241438327,-1.7003751842116839,-1.6996949170933888,-1.7012545867506526,-1.7040106955141774,-1.7024993088119214,-1.705035100561275
[ 0.05  0.05  0.    0.   -1.  ],-1.6853545118238853,-1.6814158924233027,-1.6808708811375608,-1.683910731741316,-1.6859555707616154,-1.6855172521461457,-1.6812771540516733,-1.6829373922078092,-1.6845730784157562
[ 0.25  0.35  0.    0.   -1.  ],-1.585255191534964,-1.5847549241680925,-1.5845309710176856,-1.5810528704015627,-1.5836530966254339,-1.584126207145279,-1.5807663824011418,-1.582772102855676,-1.584759747004556
[ 0.35  0.35  0.    0.   -1.  ],-1.4211401677123934,-1.4194886351522975,-1.424898996029134,-1.4222268360548742,-1.4224067598556125,-1.419916416280281,-1.4204068843567612,-1.419697705751128,-1.4230434174881876
[ 0.45  0.25  0.    0.   -1.  ],-1.535588824145059,-1.5320561359572626,-1.5345322137660597,-1.5314877147937396,-1.5315971553916787,-1.5367164497098393,-1.5405727601527162,-1.5316400080605328,-1.5336565561524418
[ 0.55  0.25  0.    0.   -1.  ],-1.0582874049215814,-1.061493064038561,-1.0610580941305954,-1.0670901086950668,-1.0596382302517438,-1.0645793683136076,-1.0621170718712138,-1.05873448114498,-1.0590963047380482
[ 0.55  0.35  0.    0.   -1.  ],-1.087343853872669,-1.0870426866409366,-1.089305535455835,-1.0884844181156481,-1.0860642715660134,-1.0858754761861664,-1.0908931447714685,-1.085920228919096,-1.0855156838844968
[ 0.45  0.45  0.    0.   -1.  ],-1.0083613879985691,-1.0064106996361402,-1.0103934101563383,-1.0081434121127648,-1.0063560261923443,-1.0090676441903914,-1.008637395850954,-1.0072051323686277,-1.0103688729992966
[ 0.55  0.45  0.    0.   -1.  ],-0.9088454873016002,-0.9073261803204692,-0.9099817539395041,-0.9059956054932274,-0.9080643296660273,-0.9062948648127688,-0.9138475854649998,-0.9081600923516253,-0.9085929234423719
[ 0.65  0.25 15.    0.   -1.  ],-0.7285805417355308,-0.7253925058176657,-0.7277557282121994,-0.7286898765897734,-0.7283785456717494,-0.7251126665510196,-0.7259188671645613,-0.7265260440885964,-0.7252099228233948
[ 0.75  0.25 15.    0.   -1.  ],-0.5592819281042846,-0.5600072010285609,-0.5606840980802289,-0.5615080836064291,-0.5563205011771698,-0.5624016705470176,-0.5620836972012755,-0.5592396651520349,-0.5561960128034883
[ 0.75  0.15 15.    0.   -1.  ],-0.5345591035273867,-0.5344843483762853,-0.5386773774060718,-0.5372051280031908,-0.5352347257688267,-0.5393119869193704,-0.5386873227853765,-0.5379237395396765,-0.5372410340750725
[ 0.65  0.05 15.    0.   -1.  ],-0.5444123551048092,-0.5430870794418184,-0.5446552890064361,-0.5445999884104549,-0.5434590485818717,-0.5418270028444954,-0.5444593214970557,-0.5460912518627378,-0.5438130239449419
[ 0.85  0.25 15.    0.   -1.  ],-0.4497324157572979,-0.45267740894021274,-0.45157484120038105,-0.44982709676967014,-0.45230250666326893,-0.4544022836223631,-0.4508952319084844,-0.44975253389924924,-0.45177469149272165
[ 0.95  0.25 15.    0.   -1.  ],-0.38481261548379675,-0.3875812376769251,-0.38647249456928556,-0.3893600809035624,-0.3848038240168769,-0.3869706718673653,-0.3891878785679603,-0.38478675605529084,-0.3895023587932258
[ 0.95  0.15 15.    0.   -1.  ],-0.3798049541833876,-0.37807025833779473,-0.3786981758419147,-0.37558714855950714,-0.37963539619398673,-0.38123734484141364,-0.37975379422631683,-0.37951145611807435,-0.3796510706732319
[ 0.45  0.35  0.    0.   -1.  ],-1.2597369404995549,-1.2569013874769606,-1.2560454651682844,-1.2580577220101083,-1.2578821755288345,-1.2566631641225103,-1.2574220064770745,-1.256815202979465,-1.2582831458341692
[ 0.65  0.35 15.    0.   -1.  ],-0.6940566226875553,-0.6905785239569769,-0.690315113545831,-0.690723177829999,-0.6922784575997188,-0.6897928763716363,-0.6910630498002718,-0.6927638241831927,-0.69008988675641
[ 0.55  0.45 14.    0.   -1.  ],-0.2109005395352239,-0.21033630460007194,-0.21174114656123144,-0.21230294164771438,-0.2127764232501174,-0.20892107596745357,-0.21030437875263863,-0.21046930977725326,-0.210408501617604
[ 0.75  0.35 15.    0.   -1.  ],-0.5738801512586458,-0.5744871788930491,-0.5774748545484703,-0.5746836816057532,-0.5742480352038806,-0.5767398720563774,-0.5788612484145502,-0.5738238791871313,-0.5733245249617285
[ 0.85  0.15 15.    0.   -1.  ],-0.444679210209237,-0.4469103605370249,-0.4438619616062425,-0.4432866768012224,-0.44350876800072087,-0.44584377090009164,-0.44727477050260706,-0.44762591132806356,-0.44353324973061353
[ 0.95  0.05 15.    0.   -1.  ],-0.37486128375642347,-0.37697106812616,-0.3748113702067999,-0.3756684762433197,-0.37486128375642347,-0.3723569947241534,-0.37547257566373043,-0.3750031392617294,-0.3744757745241596
