,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.    0.   -1.  ],-2.109090621043387,-2.109877893753819,-2.1107960982724254,-2.1112760063997444,-2.112309562172849,-2.110037802741067,-2.1118366680403966,-2.1089619211699016,-2.1135387103054644
[ 0.25  0.05  0.    0.   -1.  ],-1.9595872860205559,-1.9564131093347659,-1.9566189408065555,-1.9551414972006955,-1.9573361584780666,-1.9569619907357143,-1.9556505233649646,-1.9615456584428304,-1.955668645928991
[ 0.35  0.05  0.    0.   -1.  ],-1.9730980132652058,-1.97612011791115,-1.9698651069915312,-1.9742242999889845,-1.9779424363619629,-1.9701810108530158,-1.97422314016804,-1.9731557959395793,-1.970718571627022
[ 0.25  0.25  0.    0.   -1.  ],-1.818304944410801,-1.8174998640812354,-1.8158808676663707,-1.817535077786357,-1.8195415384237426,-1.8142595068290854,-1.8193839140330879,-1.8141420669667534,-1.8195846471917623
[ 0.35  0.35  0.    0.   -1.  ],-1.5208801553754432,-1.5177353463395493,-1.5203438805475422,-1.5235742229882263,-1.5205561997680006,-1.5210584476916607,-1.5179860284732065,-1.5179427702962673,-1.524563419773995
[ 0.25  0.35  0.    0.   -1.  ],-1.6952259402250855,-1.693521935442232,-1.6931496735588862,-1.6924850004560479,-1.6947009702228253,-1.692306292243002,-1.693820087576102,-1.6953058273445267,-1.6965947173824811
[ 0.35  0.25  0.    0.   -1.  ],-1.740197387697445,-1.7383771822138299,-1.7449582352914128,-1.740768707365752,-1.7387825003433293,-1.741712474507845,-1.7415839421793118,-1.7378523967794914,-1.7403386320314036
[ 0.45  0.35  0.    0.   -1.  ],-1.3562226439030234,-1.3540318119986383,-1.3549541206581197,-1.3561766372172244,-1.3526884213493167,-1.3561432203701693,-1.353692478077366,-1.3536979088765162,-1.3542680144884183
[ 0.45  0.25  0.    0.   -1.  ],-1.6163516108478027,-1.614243933445757,-1.612756736093506,-1.6140396794120515,-1.612611060957855,-1.6143630637144426,-1.6164561256784078,-1.6126443159371624,-1.6157323930666005
[ 0.55  0.35  0.    0.   -1.  ],-1.1679216801857382,-1.1676522204104511,-1.1684566558040654,-1.1691007138537777,-1.1678559186035156,-1.169415284276235,-1.1702636737585967,-1.1702895350593643,-1.168167874089771
[ 0.45  0.45  0.    0.   -1.  ],-1.1029737001881446,-1.101966293017402,-1.1079067899517796,-1.1044852618232155,-1.1026898665336051,-1.104087264032657,-1.1076095936018702,-1.100930056758925,-1.106529410096386
[ 0.55  0.45  0.    0.   -1.  ],-0.997929717013691,-0.9979749949166061,-0.9965574907203951,-0.999658301080442,-0.9969557221562695,-0.9968735949394901,-0.99789908352756,-0.9971341084148223,-0.9975895765153514
[ 0.25  0.15  0.    0.   -1.  ],-1.902606845710035,-1.8988853901403668,-1.9019967022396185,-1.903294218509272,-1.904787768435206,-1.899808500207943,-1.900222516457338,-1.9001189018162865,-1.8998482417264284
