,stay,N,S,W,E,NW,SW,NE,SE
[ 0.3  0.1  0.   0.  -1. ],-2.0356106778096033,-2.0310758356885925,-2.03123108548856,-2.038312838059237,-2.0306044411123545,-2.021439757317836,-2.0215673740585167,-0.15335102428833455,-2.0271768413014275
[ 0.3  0.3  0.   0.  -1. ],-1.6573049370742514,-1.6581524751420633,-1.657403872038718,-1.658923838864021,-1.5346089159801257,-1.6567362336484963,-1.6565867987738079,-1.654062374124613,-1.6540637189655136
[ 0.5  0.3  0.   0.  -1. ],-1.5095822957348242,-1.5142732999401587,-1.49775058564625,-1.5195451738841752,0.7191812161672048,-1.5043973930747319,-1.5234686245752707,-1.49865503556979,-1.5146044811966213
[ 0.7  0.3 20.   0.  -1. ],-1.0084259108690936,-1.0078635462385925,-0.9923166802689438,-1.0051480492298235,-1.0083422167036968,1.6079004781397823,-1.0048203044060453,-1.0067461026859335,-1.0084390097026188
[ 0.9  0.3 20.   0.  -1. ],-1.0279356532198227,-1.0249665915037975,-1.0246847765812648,-1.0268890253303589,-1.0260480705990485,-1.0292925086371205,-1.0275686499747043,-1.0273791573082232,-1.0268760623458837
[ 0.9  0.1 20.   0.  -1. ],-1.0106187261165376,-1.0126643617933957,-1.0125587196113206,-1.0124967273973176,-1.0113562260060298,-1.0084245886571,-1.012705812104706,-1.0094171031699841,-1.0112747503017412
[ 0.5  0.5 19.   0.  -1. ],-0.4908195987971347,-0.4870221117407255,-0.4881628177594135,-0.48673896798873734,-0.48844883258206806,2.486184871162028,-0.4904397204041058,-0.487542179224674,-0.49022386259585615
[ 0.3  0.3 18.   0.  -1. ],-0.20096577023278553,-0.20570270647754885,-0.2049496365072666,-0.20311476288901328,-0.20319615419173306,-0.2051064626557559,-0.20121542694797848,-0.20223006218368947,-0.2017464550432582
[ 0.3  0.3 17.   0.  -1. ],-0.1999987520373865,-0.20437069472313882,-0.20074664702495346,-0.2005507744313883,-0.20100358641509322,-0.20032024070741003,-0.2019078151452829,-0.20319583619147166,-0.2044069060481018
[ 0.3  0.3 16.   0.  -1. ],-0.17669831693553267,-0.1768773771377502,-0.1797408949495518,-0.18127085065949775,-0.18110500324910145,-0.18090313496043084,-0.17820668825118388,-0.1778066264284669,-0.1810334166755433
[ 0.3  0.1 15.   0.  -1. ],-0.15826823267883502,-0.15921431031742095,-0.15810811436481106,-0.15809962703316519,-0.15818948329413055,-0.15790281838965126,-0.15837801254885175,-0.1615104382882961,-0.1575698049476675
