,stay,N,S,W,E,NW,SW,NE,SE
[ 0.35  0.15  0.    0.   -1.  ],-1.719261328551766,-2.1046430927994058,-2.161584758762947,-2.151642035259623,-1.9751956832779052,-2.151656655127941,-2.1598408385495267,1.8650899383186683,-1.9976467612653819
[ 0.35  0.25  0.    0.   -1.  ],-1.7607093416597357,-1.7590942554322586,-1.7282287390320545,-1.760111045208002,0.877088558535708,-1.763993347928705,-1.7610706804375185,-1.7574802291009115,-1.7612712450637362
[ 0.25  0.35  0.    0.   -1.  ],-1.710445797796231,-1.7087949712699562,-1.7092525422404654,-1.711583390371094,-1.7107828894456847,-1.7102992405209043,-1.7106336079630484,-1.709570675360889,-1.7089955911007353
[ 0.45  0.35  0.    0.   -1.  ],-1.3525700527459148,-1.3543278001464312,-1.3561534905045454,-1.357655334457333,1.3302835440603982,-1.3533382814679666,-1.3536036396518323,-1.3530665406707096,-1.353624415715626
[ 0.45  0.45  0.    0.   -1.  ],-1.0861457671365942,-1.086451942076526,-1.0924733906638742,-1.0894235256460318,-1.0870408288951088,-1.090032718888183,-1.0893114931546533,-1.0889689449217155,-0.40401180183600616
[ 0.45  0.55  0.    0.   -1.  ],-0.6983182251881315,-0.6947603887023598,-0.6938276432438305,-0.6945304357892367,-0.6971772731102581,-0.6948156967343676,-0.6972544418868594,-0.6955364455460274,-0.6972016204062068
[ 0.55  0.55  0.    0.   -1.  ],-0.7088365165107994,-0.7096405020906422,-0.7085801643965925,-0.7117014443307836,-0.7077897437178793,-0.709061524888912,-0.7094310977378409,-0.7090528199244758,-0.7100460814674772
[ 0.55  0.65  0.    0.   -1.  ],-0.4493012430681385,-0.45195401778782407,-0.45359348814780787,-0.45339318924497984,-0.4519043755149476,-0.44941155775827185,-0.4566900173820785,-0.45163377844719177,-0.44992292394953903
[ 0.45  0.65  0.    0.   -1.  ],-0.4195235686210726,-0.42172240093924496,-0.4260723108022586,-0.42004336214633553,-0.4202835484175245,-0.4222852243539762,-0.4192767809926061,-0.4191384295450554,-0.4214092738487965
[ 0.45  0.75  0.    0.   -1.  ],-0.2448226860372072,-0.24330776698855505,-0.24155221875767788,-0.25035538420738984,-0.24316467020444224,-0.24832860609703983,-0.24251256537094598,-0.2459716289566569,-0.24861908523858484
[ 0.25  0.15  0.    0.   -1.  ],-1.9192807922912718,-1.9171773776707695,-1.9200374160235123,-1.91794296220986,-1.7347140045417044,-1.918286410341859,-1.9191930026620507,-1.9172775250872967,-1.919086868550438
[ 0.35  0.05  0.    0.   -1.  ],-1.9958126259217766,-1.8351211967404404,-1.9988998530107511,-1.9967644543056304,-1.996682261412142,-1.9989196342911633,-1.9986704555018628,-2.00100513971826,-1.997269354071624
[ 0.25  0.05  0.    0.   -1.  ],-1.9560006966740866,-1.9559544189365416,-1.9580137830857378,-1.9579868949562835,-1.9580581283389382,-1.9567476354743614,-1.956514989672527,-1.6322424001736386,-1.9595924957577677
[ 0.15  0.05  0.    0.   -1.  ],-1.8569917472958148,-1.8555029617377188,-1.8552073074595634,-1.8535838815919277,-1.8565403476411455,-1.85704622764595,-1.8559786798484936,-1.8586031911469834,-1.8535143127651086
[ 0.15  0.15  0.    0.   -1.  ],-1.8622606916789228,-1.8595666089851433,-1.8598071666907283,-1.8601841059982525,-1.8588699515779292,-1.861981763580237,-1.862006081591822,-1.861671097123879,-1.858763187626207
[ 0.05  0.05  0.    0.   -1.  ],-1.8158004425912122,-1.8188254903724341,-1.8140312057387278,-1.8156352753205889,-1.8151486951805595,-1.817472376052349,-1.8168604164787103,-1.8148755160709655,-1.8144547408304799
[ 0.35  0.35  0.    0.   -1.  ],-1.5218256206394385,-1.520929226096945,-1.5238596496983818,-1.5195038807015069,-1.5200327658880695,-1.5205219354031294,-1.523245154087941,-1.4901612604777112,-1.5186675867898893
[ 0.25  0.25  0.    0.   -1.  ],-1.8363857024605048,-1.8352200732624302,-1.8367734751744573,-1.8371956853869684,-1.6902420463865906,-1.8387596932777335,-1.8351888369391185,-1.834920655440366,-1.8352843500850815
[ 0.45  0.25  0.    0.   -1.  ],-1.4228338025430136,-1.5020628121973265,-1.4074493621095159,-1.518282139868247,-1.4221188179108133,-1.656509697214142,-1.4299789289576685,2.427531985317918,-1.4728630709658186
[ 0.05  0.15  0.    0.   -1.  ],-1.8109401672617937,-1.8130175716314474,-1.8156392745302459,-1.8132276007981534,-1.8159728257906664,-1.8127533184867934,-1.8117251205903382,-1.814009337711438,-1.8111399051199497
[ 0.55  0.35  0.    0.   -1.  ],-0.9976660552835561,-1.1451274700579415,-1.1157523442630286,-1.090641083901142,3.0794479780918094,-1.125335496065157,-1.0360853400746786,-1.007348314113923,-1.0036871778089669
[ 0.65  0.25 15.    0.   -1.  ],-0.7707298479649108,1.863358529525378,-0.7742930016408227,-0.772222003503875,-0.7716748237964938,-0.7705295601551246,-0.7725588563719618,-0.7725777597702614,-0.7735381779057183
[ 0.55  0.35 14.    0.   -1.  ],-0.3301374871701378,-0.3301165180549863,-0.33048413272732097,-0.3326790895613262,2.00599179014081,-0.32862809624875144,-0.32897975417872566,-0.32946354273681705,-0.3231958850311105
[ 0.55  0.35 13.    0.   -1.  ],-0.18169205251501294,-0.18063644833437326,-0.18200197681055258,-0.17929733507368517,-0.17851912455671762,-0.1814536656966744,-0.18162249101629088,-0.17950168050733153,-0.10504338827538218
[ 0.55  0.35 12.    0.   -1.  ],-0.12068155196255545,-0.1185276027877205,-0.12133992791207449,-0.11995257210871267,-0.12103682078772027,-0.12250795407809414,-0.1188041695956699,-0.12106208368730606,-0.1253295041614741
[ 0.55  0.25 11.    0.   -1.  ],-0.09239107925786592,-0.09233228245659271,-0.09557996950524292,-0.09202787682316751,-0.09396232799729395,-0.09256052014588279,-0.09252205891005714,-0.09204236990070416,-0.09921640036664987
[ 0.55  0.25 10.    0.   -1.  ],-0.0684394554411414,-0.06861273133899215,-0.06912086416574273,-0.06902759301076873,-0.07615292255357253,-0.06909014225689737,-0.06871155274171638,-0.0363771833246775,-0.07017530069072164
[ 0.45  0.35  9.    0.   -1.  ],-0.04973306196322372,-0.05416527100227153,-0.054120630120251895,-0.054204771775943204,-0.05412308454073546,-0.04973093215464456,-0.05368437925530788,-0.05387715709156111,-0.053981691758845526
[ 0.55  0.35  8.    0.   -1.  ],-0.03987847356879319,-0.04442419011449204,-0.039686554038186536,-0.040029535845954436,-0.039779404853056984,-0.039649988149705946,-0.04450900524754868,-0.039673147041395185,-0.0506096899062157
[ 0.55  0.25  7.    0.   -1.  ],-0.029751481225876147,-0.02990933127905282,-0.02977834860390358,-0.029994349232328434,-0.03863257097483526,-0.0299957468723303,-0.029715247232367372,0.014683384759950516,-0.03227982335595249
[ 0.55  0.25  6.    0.   -1.  ],-0.029704076824369756,-0.024883767289131536,-0.024802680051999995,-0.024900591062880097,-0.02936669953585673,-0.025141958315468643,-0.0249965457922,-0.028367158839736423,-0.02875918563532045
[ 0.45  0.25  5.    0.   -1.  ],-0.024899607937085,-0.0250435345568945,-0.029703019681530052,-0.024801193035499998,-0.02480218105649,-0.02494856344252505,-0.024800703475550002,-0.024802071525607757,-0.024948074372135004
[ 0.45  0.25  4.    0.   -1.  ],-0.019998212985500002,-0.019998212985500002,-0.019949751000995004,-0.019998212985500002,-0.024752731050995,-0.019851839010995,-0.0247032810455,-0.024703775055995,-0.0199003009955
[ 0.45  0.25  3.    0.   -1.  ],-0.019851966830349885,-0.014999351000000001,-0.019950791122906188,-0.015098621191761554,-0.019850846,-0.019852655538421905,-0.019851520344195236,-0.01985188520847382,-0.015000221929384907
[ 0.45  0.25  2.    0.   -1.  ],-0.019797399309965824,-0.015213244791087665,-0.015150321081455028,-0.015272444779098367,-0.020165213083772747,-0.015341900461756012,-0.015263918428533668,-0.015065346223234346,-0.015236175227351226
[ 0.35  0.15  1.    0.   -1.  ],-0.057069877589133206,-0.05596957800537061,-0.04584066813245491,-0.03861655424898494,-0.04174239997456801,-0.059640710486177806,-0.05977777871977271,-0.050543705944904586,-0.05777084155776549
[ 0.65  0.35 15.    0.   -1.  ],-0.5585243761306702,-0.44165357587610515,-0.7061790991926407,-0.6337615807183565,-0.6979667505235757,3.6775075475030867,-0.7258588137690203,-0.5867846320579284,-0.7373987057147852
[ 0.65  0.15 15.    0.   -1.  ],-0.7433279489350146,-0.7417290812918401,-0.7441092609487603,-0.7412683945782456,-0.7432236571697559,-0.7418365781343557,-0.7449766604307564,-0.7438143117434561,-0.7440815165511522
[ 0.75  0.15 15.    0.   -1.  ],-0.5838573668099944,-0.5819277256685936,-0.5827485249359226,-0.5850579251360707,-0.5831286686803052,-0.5654967209413909,-0.5821193322942313,-0.5816052787120933,-0.5804497856578007
[ 0.85  0.15 15.    0.   -1.  ],-0.48451299945490767,-0.48931615468146006,-0.4845072028779669,-0.48524850833195343,-0.48520897195701895,-0.4887701612369966,-0.4874173822855095,-0.4882066330471248,-0.48793424523593915
